algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,kripke,1,2,0,512,64,25.63443,16
pak,kripke,1,2,0,512,64,24.78036,16
rand,kripke,1,2,0,512,64,25.97384,16
spr,kripke,2,1,0,512,64,25.09542,16
pak,kripke,2,1,0,512,64,24.86443,16
rand,kripke,2,1,0,512,64,25.55687,16
spr,kripke,3,0,0,512,64,25.06938,16
pak,kripke,3,0,0,512,64,24.66530,16
rand,kripke,3,0,0,512,64,25.51332,16
spr,kripke,4,0,1,512,64,25.18341,16
pak,kripke,4,0,1,512,64,24.50930,16
rand,kripke,4,0,1,512,64,25.09419,16
spr,kripke,5,0,2,512,64,25.15639,16
pak,kripke,5,0,2,512,64,24.67033,16
rand,kripke,5,0,2,512,64,24.76332,16
spr,kripke,1,2,0,512,80,22.42323,16
pak,kripke,1,2,0,512,80,22.15717,16
rand,kripke,1,2,0,512,80,22.41762,16
spr,kripke,2,1,0,512,80,22.17824,16
pak,kripke,2,1,0,512,80,22.18320,16
rand,kripke,2,1,0,512,80,22.40802,16
spr,kripke,3,0,0,512,80,22.50215,16
pak,kripke,3,0,0,512,80,21.97618,16
rand,kripke,3,0,0,512,80,22.13315,16
spr,kripke,4,0,1,512,80,22.44626,16
pak,kripke,4,0,1,512,80,22.64716,16
rand,kripke,4,0,1,512,80,22.08090,16
spr,kripke,5,0,2,512,80,22.35620,16
pak,kripke,5,0,2,512,80,22.51423,16
rand,kripke,5,0,2,512,80,22.46098,16
pak,kripke,1,2,0,512,115,22.19714,16
rand,kripke,1,2,0,512,115,21.85705,16
spr,kripke,2,1,0,512,115,22.21624,16
pak,kripke,2,1,0,512,115,21.79421,16
rand,kripke,2,1,0,512,115,21.90953,16
spr,kripke,3,0,0,512,115,22.28519,16
pak,kripke,3,0,0,512,115,21.75429,16
rand,kripke,3,0,0,512,115,21.81699,16
spr,kripke,4,0,1,512,115,21.74921,16
pak,kripke,4,0,1,512,115,21.84123,16
rand,kripke,4,0,1,512,115,21.77087,16
spr,kripke,5,0,2,512,115,21.99923,16
pak,kripke,5,0,2,512,115,21.91012,16
rand,kripke,5,0,2,512,115,21.94882,16
spr,kripke,1,2,0,512,64,28.76854,20
pak,kripke,1,2,0,512,64,27.83854,20
rand,kripke,1,2,0,512,64,28.54392,20
spr,kripke,2,1,0,512,64,29.16160,20
pak,kripke,2,1,0,512,64,28.16153,20
rand,kripke,2,1,0,512,64,28.91447,20
spr,kripke,3,0,0,512,64,28.96253,20
pak,kripke,3,0,0,512,64,27.76543,20
rand,kripke,3,0,0,512,64,29.18151,20
spr,kripke,4,0,1,512,64,28.84757,20
pak,kripke,4,0,1,512,64,27.81514,20
rand,kripke,4,0,1,512,64,28.88754,20
spr,kripke,5,0,2,512,64,28.60693,20
pak,kripke,5,0,2,512,64,28.81961,20
rand,kripke,5,0,2,512,64,28.69690,20
spr,kripke,1,2,0,512,80,24.74035,20
pak,kripke,1,2,0,512,80,24.43530,20
rand,kripke,1,2,0,512,80,24.40125,20
spr,kripke,2,1,0,512,80,24.55019,20
pak,kripke,2,1,0,512,80,23.98837,20
rand,kripke,2,1,0,512,80,24.40504,20
spr,kripke,3,0,0,512,80,24.41935,20
pak,kripke,3,0,0,512,80,24.44124,20
rand,kripke,3,0,0,512,80,24.23922,20
spr,kripke,4,0,1,512,80,24.38836,20
pak,kripke,4,0,1,512,80,24.14633,20
rand,kripke,4,0,1,512,80,24.10177,20
spr,kripke,5,0,2,512,80,24.28634,20
pak,kripke,5,0,2,512,80,24.42634,20
rand,kripke,5,0,2,512,80,24.32642,20
spr,kripke,1,2,0,512,115,23.45128,20
pak,kripke,1,2,0,512,115,23.52417,20
rand,kripke,1,2,0,512,115,23.37820,20
spr,kripke,2,1,0,512,115,23.61427,20
pak,kripke,2,1,0,512,115,23.53024,20
rand,kripke,2,1,0,512,115,23.57727,20
spr,kripke,3,0,0,512,115,23.60728,20
pak,kripke,3,0,0,512,115,23.38328,20
rand,kripke,3,0,0,512,115,23.23823,20
spr,kripke,4,0,1,512,115,23.32122,20
pak,kripke,4,0,1,512,115,23.52434,20
rand,kripke,4,0,1,512,115,23.42490,20
spr,kripke,5,0,2,512,115,23.36532,20
pak,kripke,5,0,2,512,115,23.53927,20
rand,kripke,5,0,2,512,115,23.38960,20
spr,kripke,1,2,0,512,64,32.96883,24
pak,kripke,1,2,0,512,64,31.96664,24
rand,kripke,1,2,0,512,64,33.72563,24
spr,kripke,2,1,0,512,64,32.77080,24
pak,kripke,2,1,0,512,64,32.10425,24
rand,kripke,2,1,0,512,64,33.10359,24
spr,kripke,3,0,0,512,64,32.95495,24
pak,kripke,3,0,0,512,64,31.97684,24
rand,kripke,3,0,0,512,64,33.07455,24
spr,kripke,4,0,1,512,64,32.78377,24
pak,kripke,4,0,1,512,64,32.19669,24
rand,kripke,4,0,1,512,64,33.30378,24
spr,kripke,5,0,2,512,64,32.84288,24
pak,kripke,5,0,2,512,64,31.91977,24
rand,kripke,5,0,2,512,64,32.37991,24
spr,kripke,1,2,0,512,80,27.03543,24
pak,kripke,1,2,0,512,80,26.68248,24
rand,kripke,1,2,0,512,80,27.38438,24
spr,kripke,2,1,0,512,80,27.12843,24
pak,kripke,2,1,0,512,80,26.71748,24
rand,kripke,2,1,0,512,80,27.90329,24
spr,kripke,3,0,0,512,80,27.37340,24
pak,kripke,3,0,0,512,80,26.70039,24
rand,kripke,3,0,0,512,80,27.72637,24
spr,kripke,4,0,1,512,80,27.10845,24
pak,kripke,4,0,1,512,80,26.79153,24
rand,kripke,4,0,1,512,80,27.12950,24
spr,kripke,5,0,2,512,80,27.23952,24
pak,kripke,5,0,2,512,80,26.55147,24
rand,kripke,5,0,2,512,80,27.44898,24
spr,kripke,1,2,0,512,115,25.20936,24
pak,kripke,1,2,0,512,115,25.33038,24
rand,kripke,1,2,0,512,115,25.04519,24
spr,kripke,2,1,0,512,115,24.99132,24
pak,kripke,2,1,0,512,115,25.22940,24
rand,kripke,2,1,0,512,115,25.10494,24
spr,kripke,3,0,0,512,115,24.98332,24
pak,kripke,3,0,0,512,115,25.02735,24
rand,kripke,3,0,0,512,115,25.08285,24
spr,kripke,4,0,1,512,115,25.02327,24
pak,kripke,4,0,1,512,115,25.30433,24
rand,kripke,4,0,1,512,115,24.96013,24
spr,kripke,5,0,2,512,115,25.14637,24
pak,kripke,5,0,2,512,115,25.06333,24
rand,kripke,5,0,2,512,115,25.17106,24
spr,CoMD,1,2,0,512,64,39.4856,16
pak,CoMD,1,2,0,512,64,35.8287,16
rand,CoMD,1,2,0,512,64,41.5681,16
spr,CoMD,2,1,0,512,64,38.4217,16
pak,CoMD,2,1,0,512,64,37.8492,16
rand,CoMD,2,1,0,512,64,39.5879,16
spr,CoMD,3,0,0,512,64,39.6499,16
pak,CoMD,3,0,0,512,64,36.9350,16
rand,CoMD,3,0,0,512,64,39.3345,16
spr,CoMD,4,0,1,512,64,37.0282,16
pak,CoMD,4,0,1,512,64,36.8455,16
rand,CoMD,4,0,1,512,64,39.9155,16
spr,CoMD,5,0,2,512,64,38.6121,16
pak,CoMD,5,0,2,512,64,37.0098,16
rand,CoMD,5,0,2,512,64,38.2594,16
spr,CoMD,1,2,0,512,80,35.7045,16
pak,CoMD,1,2,0,512,80,34.0391,16
rand,CoMD,1,2,0,512,80,35.4028,16
spr,CoMD,2,1,0,512,80,34.8359,16
pak,CoMD,2,1,0,512,80,34.6894,16
rand,CoMD,2,1,0,512,80,37.3806,16
spr,CoMD,3,0,0,512,80,34.7461,16
pak,CoMD,3,0,0,512,80,33.8352,16
rand,CoMD,3,0,0,512,80,34.9554,16
spr,CoMD,4,0,1,512,80,33.9249,16
pak,CoMD,4,0,1,512,80,33.9109,16
rand,CoMD,4,0,1,512,80,33.9146,16
spr,CoMD,5,0,2,512,80,33.5766,16
pak,CoMD,5,0,2,512,80,35.3372,16
rand,CoMD,5,0,2,512,80,35.8816,16
pak,CoMD,1,2,0,512,115,34.8292,16
rand,CoMD,1,2,0,512,115,36.8576,16
spr,CoMD,2,1,0,512,115,36.0956,16
pak,CoMD,2,1,0,512,115,35.4795,16
rand,CoMD,2,1,0,512,115,36.0533,16
spr,CoMD,3,0,0,512,115,34.0974,16
pak,CoMD,3,0,0,512,115,35.8808,16
rand,CoMD,3,0,0,512,115,34.5862,16
spr,CoMD,4,0,1,512,115,35.5614,16
pak,CoMD,4,0,1,512,115,35.0184,16
rand,CoMD,4,0,1,512,115,35.8466,16
spr,CoMD,5,0,2,512,115,34.8220,16
pak,CoMD,5,0,2,512,115,33.4010,16
rand,CoMD,5,0,2,512,115,35.6440,16
spr,CoMD,1,2,0,512,64,46.1885,20
pak,CoMD,1,2,0,512,64,43.5869,20
rand,CoMD,1,2,0,512,64,46.8202,20
spr,CoMD,2,1,0,512,64,44.6563,20
pak,CoMD,2,1,0,512,64,42.8861,20
rand,CoMD,2,1,0,512,64,47.5330,20
spr,CoMD,3,0,0,512,64,45.7244,20
pak,CoMD,3,0,0,512,64,43.1533,20
rand,CoMD,3,0,0,512,64,44.7492,20
spr,CoMD,4,0,1,512,64,44.1048,20
pak,CoMD,4,0,1,512,64,42.6364,20
rand,CoMD,4,0,1,512,64,43.5986,20
spr,CoMD,5,0,2,512,64,45.1758,20
pak,CoMD,5,0,2,512,64,42.8405,20
rand,CoMD,5,0,2,512,64,43.9536,20
spr,CoMD,1,2,0,512,80,39.9190,20
pak,CoMD,1,2,0,512,80,38.3182,20
rand,CoMD,1,2,0,512,80,43.2692,20
spr,CoMD,2,1,0,512,80,39.9100,20
pak,CoMD,2,1,0,512,80,39.2629,20
rand,CoMD,2,1,0,512,80,40.9692,20
spr,CoMD,3,0,0,512,80,40.2167,20
pak,CoMD,3,0,0,512,80,38.2978,20
rand,CoMD,3,0,0,512,80,40.5704,20
spr,CoMD,4,0,1,512,80,37.9400,20
pak,CoMD,4,0,1,512,80,38.2212,20
rand,CoMD,4,0,1,512,80,38.7279,20
spr,CoMD,5,0,2,512,80,38.5330,20
pak,CoMD,5,0,2,512,80,38.2510,20
rand,CoMD,5,0,2,512,80,37.9083,20
spr,CoMD,1,2,0,512,115,40.7640,20
pak,CoMD,1,2,0,512,115,39.8226,20
rand,CoMD,1,2,0,512,115,41.4232,20
spr,CoMD,2,1,0,512,115,41.2631,20
pak,CoMD,2,1,0,512,115,39.8446,20
rand,CoMD,2,1,0,512,115,40.5709,20
spr,CoMD,3,0,0,512,115,39.1163,20
pak,CoMD,3,0,0,512,115,38.1473,20
rand,CoMD,3,0,0,512,115,39.7956,20
spr,CoMD,4,0,1,512,115,38.0234,20
pak,CoMD,4,0,1,512,115,37.3701,20
rand,CoMD,4,0,1,512,115,37.3837,20
spr,CoMD,5,0,2,512,115,37.9654,20
pak,CoMD,5,0,2,512,115,37.7893,20
rand,CoMD,5,0,2,512,115,37.7376,20
spr,CoMD,1,2,0,512,64,51.3931,24
pak,CoMD,1,2,0,512,64,47.3946,24
rand,CoMD,1,2,0,512,64,53.8891,24
spr,CoMD,2,1,0,512,64,51.3236,24
pak,CoMD,2,1,0,512,64,48.1787,24
rand,CoMD,2,1,0,512,64,50.5937,24
spr,CoMD,3,0,0,512,64,50.1271,24
pak,CoMD,3,0,0,512,64,47.6891,24
rand,CoMD,3,0,0,512,64,50.2685,24
spr,CoMD,4,0,1,512,64,49.3084,24
pak,CoMD,4,0,1,512,64,47.3286,24
rand,CoMD,4,0,1,512,64,48.6047,24
spr,CoMD,5,0,2,512,64,49.8253,24
pak,CoMD,5,0,2,512,64,48.3123,24
rand,CoMD,5,0,2,512,64,49.1782,24
spr,CoMD,1,2,0,512,80,44.5447,24
pak,CoMD,1,2,0,512,80,40.7837,24
rand,CoMD,1,2,0,512,80,45.9374,24
spr,CoMD,2,1,0,512,80,43.3705,24
pak,CoMD,2,1,0,512,80,40.9296,24
rand,CoMD,2,1,0,512,80,43.5659,24
spr,CoMD,3,0,0,512,80,43.1641,24
pak,CoMD,3,0,0,512,80,41.2325,24
rand,CoMD,3,0,0,512,80,43.6065,24
spr,CoMD,4,0,1,512,80,41.1781,24
pak,CoMD,4,0,1,512,80,41.2599,24
rand,CoMD,4,0,1,512,80,42.0794,24
spr,CoMD,5,0,2,512,80,41.8364,24
pak,CoMD,5,0,2,512,80,41.3121,24
rand,CoMD,5,0,2,512,80,41.1514,24
spr,CoMD,1,2,0,512,115,42.0730,24
pak,CoMD,1,2,0,512,115,39.2610,24
rand,CoMD,1,2,0,512,115,44.6940,24
spr,CoMD,2,1,0,512,115,42.1447,24
pak,CoMD,2,1,0,512,115,39.7869,24
rand,CoMD,2,1,0,512,115,42.6796,24
spr,CoMD,3,0,0,512,115,40.8211,24
pak,CoMD,3,0,0,512,115,39.1388,24
rand,CoMD,3,0,0,512,115,40.5600,24
spr,CoMD,4,0,1,512,115,39.2648,24
pak,CoMD,4,0,1,512,115,38.4736,24
rand,CoMD,4,0,1,512,115,39.4218,24
spr,CoMD,5,0,2,512,115,39.7904,24
pak,CoMD,5,0,2,512,115,39.3817,24
rand,CoMD,5,0,2,512,115,39.3005,24
spr,ft,1,2,0,512,64,61.58,16
pak,ft,1,2,0,512,64,47.44,16
rand,ft,1,2,0,512,64,62.27,16
spr,ft,2,1,0,512,64,56.43,16
pak,ft,2,1,0,512,64,47.04,16
rand,ft,2,1,0,512,64,59.64,16
spr,ft,3,0,0,512,64,49.05,16
pak,ft,3,0,0,512,64,46.05,16
rand,ft,3,0,0,512,64,51.50,16
spr,ft,4,0,1,512,64,41.29,16
pak,ft,4,0,1,512,64,42.38,16
rand,ft,4,0,1,512,64,42.46,16
spr,ft,5,0,2,512,64,41.48,16
pak,ft,5,0,2,512,64,41.76,16
rand,ft,5,0,2,512,64,43.97,16
spr,ft,1,2,0,512,80,57.76,16
pak,ft,1,2,0,512,80,43.42,16
rand,ft,1,2,0,512,80,57.25,16
spr,ft,2,1,0,512,80,51.99,16
pak,ft,2,1,0,512,80,43.56,16
rand,ft,2,1,0,512,80,56.51,16
spr,ft,3,0,0,512,80,44.77,16
pak,ft,3,0,0,512,80,42.48,16
rand,ft,3,0,0,512,80,45.25,16
spr,ft,4,0,1,512,80,36.62,16
pak,ft,4,0,1,512,80,38.50,16
rand,ft,4,0,1,512,80,35.27,16
spr,ft,5,0,2,512,80,36.49,16
pak,ft,5,0,2,512,80,37.73,16
rand,ft,5,0,2,512,80,38.07,16
pak,ft,1,2,0,512,115,43.10,16
rand,ft,1,2,0,512,115,56.87,16
spr,ft,2,1,0,512,115,51.26,16
pak,ft,2,1,0,512,115,43.46,16
rand,ft,2,1,0,512,115,53.99,16
spr,ft,3,0,0,512,115,43.69,16
pak,ft,3,0,0,512,115,42.11,16
rand,ft,3,0,0,512,115,45.11,16
spr,ft,4,0,1,512,115,35.18,16
pak,ft,4,0,1,512,115,38.08,16
rand,ft,4,0,1,512,115,37.06,16
spr,ft,5,0,2,512,115,35.14,16
pak,ft,5,0,2,512,115,37.41,16
rand,ft,5,0,2,512,115,36.86,16
spr,ft,1,2,0,512,64,77.50,20
pak,ft,1,2,0,512,64,60.60,20
rand,ft,1,2,0,512,64,79.76,20
spr,ft,2,1,0,512,64,65.42,20
pak,ft,2,1,0,512,64,58.79,20
rand,ft,2,1,0,512,64,67.19,20
spr,ft,3,0,0,512,64,56.13,20
pak,ft,3,0,0,512,64,54.95,20
rand,ft,3,0,0,512,64,58.67,20
spr,ft,4,0,1,512,64,50.06,20
pak,ft,4,0,1,512,64,52.09,20
rand,ft,4,0,1,512,64,51.81,20
spr,ft,5,0,2,512,64,49.97,20
pak,ft,5,0,2,512,64,51.73,20
rand,ft,5,0,2,512,64,50.38,20
spr,ft,1,2,0,512,80,66.83,20
pak,ft,1,2,0,512,80,55.55,20
rand,ft,1,2,0,512,80,68.58,20
spr,ft,2,1,0,512,80,59.55,20
pak,ft,2,1,0,512,80,54.66,20
rand,ft,2,1,0,512,80,64.35,20
spr,ft,3,0,0,512,80,51.05,20
pak,ft,3,0,0,512,80,50.12,20
rand,ft,3,0,0,512,80,53.24,20
spr,ft,4,0,1,512,80,44.50,20
pak,ft,4,0,1,512,80,46.97,20
rand,ft,4,0,1,512,80,45.33,20
spr,ft,5,0,2,512,80,44.06,20
pak,ft,5,0,2,512,80,46.52,20
rand,ft,5,0,2,512,80,45.33,20
spr,ft,1,2,0,512,115,64.73,20
pak,ft,1,2,0,512,115,54.50,20
rand,ft,1,2,0,512,115,71.20,20
spr,ft,2,1,0,512,115,57.38,20
pak,ft,2,1,0,512,115,52.77,20
rand,ft,2,1,0,512,115,61.44,20
spr,ft,3,0,0,512,115,48.55,20
pak,ft,3,0,0,512,115,48.42,20
rand,ft,3,0,0,512,115,49.53,20
spr,ft,4,0,1,512,115,42.15,20
pak,ft,4,0,1,512,115,44.89,20
rand,ft,4,0,1,512,115,41.00,20
spr,ft,5,0,2,512,115,41.88,20
pak,ft,5,0,2,512,115,44.18,20
rand,ft,5,0,2,512,115,42.71,20
spr,ft,1,2,0,512,64,78.52,24
pak,ft,1,2,0,512,64,62.86,24
rand,ft,1,2,0,512,64,88.83,24
spr,ft,2,1,0,512,64,78.00,24
pak,ft,2,1,0,512,64,62.62,24
rand,ft,2,1,0,512,64,79.11,24
spr,ft,3,0,0,512,64,64.42,24
pak,ft,3,0,0,512,64,59.39,24
rand,ft,3,0,0,512,64,69.23,24
spr,ft,4,0,1,512,64,57.88,24
pak,ft,4,0,1,512,64,56.63,24
rand,ft,4,0,1,512,64,59.51,24
spr,ft,5,0,2,512,64,57.81,24
pak,ft,5,0,2,512,64,56.62,24
rand,ft,5,0,2,512,64,58.09,24
spr,ft,1,2,0,512,80,76.56,24
pak,ft,1,2,0,512,80,56.19,24
rand,ft,1,2,0,512,80,79.61,24
spr,ft,2,1,0,512,80,66.91,24
pak,ft,2,1,0,512,80,55.94,24
rand,ft,2,1,0,512,80,71.68,24
spr,ft,3,0,0,512,80,58.28,24
pak,ft,3,0,0,512,80,52.91,24
rand,ft,3,0,0,512,80,58.80,24
spr,ft,4,0,1,512,80,51.23,24
pak,ft,4,0,1,512,80,50.29,24
rand,ft,4,0,1,512,80,57.38,24
spr,ft,5,0,2,512,80,50.90,24
pak,ft,5,0,2,512,80,50.31,24
rand,ft,5,0,2,512,80,50.13,24
spr,ft,1,2,0,512,115,70.08,24
pak,ft,1,2,0,512,115,51.29,24
rand,ft,1,2,0,512,115,77.17,24
spr,ft,2,1,0,512,115,62.64,24
pak,ft,2,1,0,512,115,51.43,24
rand,ft,2,1,0,512,115,68.15,24
spr,ft,3,0,0,512,115,54.31,24
pak,ft,3,0,0,512,115,48.36,24
rand,ft,3,0,0,512,115,55.42,24
spr,ft,4,0,1,512,115,47.47,24
pak,ft,4,0,1,512,115,45.46,24
rand,ft,4,0,1,512,115,45.34,24
spr,ft,5,0,2,512,115,46.94,24
pak,ft,5,0,2,512,115,45.41,24
rand,ft,5,0,2,512,115,46.17,24
spr,lu,1,2,0,512,64,74.61,16
pak,lu,1,2,0,512,64,65.83,16
rand,lu,1,2,0,512,64,75.79,16
spr,lu,2,1,0,512,64,68.52,16
pak,lu,2,1,0,512,64,66.41,16
rand,lu,2,1,0,512,64,68.91,16
spr,lu,3,0,0,512,64,66.48,16
pak,lu,3,0,0,512,64,66.01,16
rand,lu,3,0,0,512,64,66.75,16
spr,lu,4,0,1,512,64,66.46,16
pak,lu,4,0,1,512,64,65.61,16
rand,lu,4,0,1,512,64,66.66,16
spr,lu,5,0,2,512,64,66.49,16
pak,lu,5,0,2,512,64,65.39,16
rand,lu,5,0,2,512,64,66.96,16
spr,lu,1,2,0,512,80,68.46,16
pak,lu,1,2,0,512,80,60.31,16
rand,lu,1,2,0,512,80,69.99,16
spr,lu,2,1,0,512,80,61.81,16
pak,lu,2,1,0,512,80,60.24,16
rand,lu,2,1,0,512,80,62.68,16
spr,lu,3,0,0,512,80,60.66,16
pak,lu,3,0,0,512,80,59.95,16
rand,lu,3,0,0,512,80,60.51,16
spr,lu,4,0,1,512,80,59.59,16
pak,lu,4,0,1,512,80,60.38,16
rand,lu,4,0,1,512,80,60.27,16
spr,lu,5,0,2,512,80,59.94,16
pak,lu,5,0,2,512,80,60.14,16
rand,lu,5,0,2,512,80,59.89,16
pak,lu,1,2,0,512,115,60.08,16
rand,lu,1,2,0,512,115,70.00,16
spr,lu,2,1,0,512,115,60.95,16
pak,lu,2,1,0,512,115,60.95,16
rand,lu,2,1,0,512,115,61.02,16
spr,lu,3,0,0,512,115,59.72,16
pak,lu,3,0,0,512,115,60.24,16
rand,lu,3,0,0,512,115,60.12,16
spr,lu,4,0,1,512,115,59.76,16
pak,lu,4,0,1,512,115,60.31,16
rand,lu,4,0,1,512,115,59.78,16
spr,lu,5,0,2,512,115,59.82,16
pak,lu,5,0,2,512,115,60.43,16
rand,lu,5,0,2,512,115,59.57,16
spr,lu,1,2,0,512,64,84.54,20
pak,lu,1,2,0,512,64,76.82,20
rand,lu,1,2,0,512,64,85.89,20
spr,lu,2,1,0,512,64,78.64,20
pak,lu,2,1,0,512,64,76.18,20
rand,lu,2,1,0,512,64,79.92,20
spr,lu,3,0,0,512,64,78.51,20
pak,lu,3,0,0,512,64,75.76,20
rand,lu,3,0,0,512,64,77.59,20
spr,lu,4,0,1,512,64,78.07,20
pak,lu,4,0,1,512,64,74.98,20
rand,lu,4,0,1,512,64,79.62,20
spr,lu,5,0,2,512,64,77.87,20
pak,lu,5,0,2,512,64,76.32,20
rand,lu,5,0,2,512,64,79.22,20
spr,lu,1,2,0,512,80,74.24,20
pak,lu,1,2,0,512,80,68.73,20
rand,lu,1,2,0,512,80,77.68,20
spr,lu,2,1,0,512,80,69.10,20
pak,lu,2,1,0,512,80,67.56,20
rand,lu,2,1,0,512,80,68.94,20
spr,lu,3,0,0,512,80,68.06,20
pak,lu,3,0,0,512,80,68.12,20
rand,lu,3,0,0,512,80,68.14,20
spr,lu,4,0,1,512,80,67.70,20
pak,lu,4,0,1,512,80,67.97,20
rand,lu,4,0,1,512,80,68.85,20
spr,lu,5,0,2,512,80,67.75,20
pak,lu,5,0,2,512,80,67.50,20
rand,lu,5,0,2,512,80,68.31,20
spr,lu,1,2,0,512,115,72.28,20
pak,lu,1,2,0,512,115,66.63,20
rand,lu,1,2,0,512,115,75.33,20
spr,lu,2,1,0,512,115,66.02,20
pak,lu,2,1,0,512,115,65.48,20
rand,lu,2,1,0,512,115,66.02,20
spr,lu,3,0,0,512,115,65.31,20
pak,lu,3,0,0,512,115,65.81,20
rand,lu,3,0,0,512,115,65.21,20
spr,lu,4,0,1,512,115,65.73,20
pak,lu,4,0,1,512,115,65.52,20
rand,lu,4,0,1,512,115,65.22,20
spr,lu,5,0,2,512,115,65.49,20
pak,lu,5,0,2,512,115,65.75,20
rand,lu,5,0,2,512,115,64.97,20
spr,lu,1,2,0,512,64,92.60,24
pak,lu,1,2,0,512,64,88.94,24
rand,lu,1,2,0,512,64,101.62,24
spr,lu,2,1,0,512,64,89.72,24
pak,lu,2,1,0,512,64,88.96,24
rand,lu,2,1,0,512,64,90.94,24
spr,lu,3,0,0,512,64,88.64,24
pak,lu,3,0,0,512,64,88.32,24
rand,lu,3,0,0,512,64,89.03,24
spr,lu,4,0,1,512,64,88.57,24
pak,lu,4,0,1,512,64,88.80,24
rand,lu,4,0,1,512,64,89.20,24
spr,lu,5,0,2,512,64,88.31,24
pak,lu,5,0,2,512,64,88.56,24
rand,lu,5,0,2,512,64,88.04,24
spr,lu,1,2,0,512,80,80.65,24
pak,lu,1,2,0,512,80,75.82,24
rand,lu,1,2,0,512,80,80.15,24
spr,lu,2,1,0,512,80,75.84,24
pak,lu,2,1,0,512,80,76.09,24
rand,lu,2,1,0,512,80,77.20,24
spr,lu,3,0,0,512,80,75.76,24
pak,lu,3,0,0,512,80,76.61,24
rand,lu,3,0,0,512,80,76.79,24
spr,lu,4,0,1,512,80,74.96,24
pak,lu,4,0,1,512,80,76.01,24
rand,lu,4,0,1,512,80,74.98,24
spr,lu,5,0,2,512,80,74.99,24
pak,lu,5,0,2,512,80,76.11,24
rand,lu,5,0,2,512,80,76.35,24
spr,lu,1,2,0,512,115,75.63,24
pak,lu,1,2,0,512,115,70.36,24
rand,lu,1,2,0,512,115,77.74,24
spr,lu,2,1,0,512,115,70.77,24
pak,lu,2,1,0,512,115,70.33,24
rand,lu,2,1,0,512,115,71.34,24
spr,lu,3,0,0,512,115,70.07,24
pak,lu,3,0,0,512,115,70.22,24
rand,lu,3,0,0,512,115,69.85,24
spr,lu,4,0,1,512,115,69.86,24
pak,lu,4,0,1,512,115,70.43,24
rand,lu,4,0,1,512,115,69.94,24
spr,lu,5,0,2,512,115,70.12,24
pak,lu,5,0,2,512,115,70.51,24
rand,lu,5,0,2,512,115,69.00,24
spr,mg,1,2,0,512,64,89.85,16
pak,mg,1,2,0,512,64,66.23,16
rand,mg,1,2,0,512,64,95.43,16
spr,mg,2,1,0,512,64,70.42,16
pak,mg,2,1,0,512,64,64.88,16
rand,mg,2,1,0,512,64,71.72,16
spr,mg,3,0,0,512,64,66.13,16
pak,mg,3,0,0,512,64,63.80,16
rand,mg,3,0,0,512,64,66.37,16
spr,mg,4,0,1,512,64,65.44,16
pak,mg,4,0,1,512,64,63.98,16
rand,mg,4,0,1,512,64,64.71,16
spr,mg,5,0,2,512,64,64.92,16
